col1,col2,col3,col4,col5,col6,col7,col8,col9
117,5,5,6,2003,52.1578,21.0346,10000,1.30147767066956
55.8,3,4,4,1970,52.2,21.04,9230,1.61010456085205
80,3,2,4,1948,52.24053,21.034167,11738,1.42567467689514
53,3,1,6,1908,52.24053,21.034167,16982,0.794153809547424
38,2,4,10,1973,52.2382,21.0636,10395,1.52188730239868
53,3,2,4,1974,52.181,21.0469,9340,0.992263436317444
63,2,4,4,1938,52.24053,21.034167,11588,1.99538350105286
62,3,5,10,2017,52.24053,21.034167,10484,2.14678144454956
54,3,4,4,1975,52.2542,21.0464,7963,1.74621200561523
23,1,9,14,2018,52.23338,20.95718,14957,2.52948808670044
40,2,3,4,2011,52.24053,21.034167,9500,2.67387175559998
42,1,2,5,2019,52.24053,21.034167,10239,0.355411052703857
35,2,8,10,1989,52.24053,21.034167,10800,0.650642275810242
46,2,3,3,1954,52.243774,20.998057,12000,1.34114456176758
48,2,0,3,1961,52.192466,21.010388,9771,0.93990695476532
43,3,0,4,1960,52.1957,21.0107,9535,0.291379690170288
68.9,3,0,10,1980,52.1524,21.0438,8114,1.44217991828918
50,2,0,3,1950,52.24053,21.034167,8780,1.67266416549683
31,1,4,12,1981,52.1756,21.0514,9581,1.1892671585083
51,2,2,3,2001,52.143971,21.057796,10883,2.54022836685181
39,2,7,8,1990,52.24053,21.034167,14077,2.89092874526978
56,3,0,3,1950,52.2277,20.9736,10000,1.04920935630798
43,2,6,7,2018,52.18,20.99,13719,2.7287073135376
64,3,2,6,1955,52.2226,21.0141,13282,1.57299184799194
53,3,7,10,1975,52.24053,21.034167,7642,1.33943581581116
66,3,4,5,2000,52.1976,20.9064,9243,1.91900539398193
69,3,9,10,1980,52.15241,21.04378,8682,2.11837244033813
89,4,1,4,2009,52.3078,20.9937,10731,2.47439169883728
49,2,3,4,1965,52.24053,21.034167,8776,2.08437132835388
38,2,0,10,1965,52.2459,20.9802,10395,0.913444995880127
62,3,6,12,1981,52.3161,20.9653,6130,1.69814133644104
33,1,1,2,2019,52.2006,21.0295,14414,0.553454875946045
65,3,2,5,1954,52.24053,21.034167,13077,1.87422609329224
50,2,18,18,1976,52.2726,20.9906,12400,2.24673652648926
117,5,5,6,2003,52.157787,21.03461,10000,1.14401745796204
52,3,3,5,2019,52.33206,20.935744,7100,0.553454875946045
93,3,6,11,2001,52.182834,21.045275,10000,1.88409805297852
72,3,2,7,2004,52.169,21.039,11042,1.91943907737732
34,1,2,3,2003,52.3213,20.9467,8824,1.14917612075806
71,4,3,4,1980,52.158375,21.053021,8099,1.317223072052
39,2,1,3,1950,52.208078,20.972152,11513,1.75719976425171
58,3,0,8,1956,52.25,21,12242,2.83206939697266
87,3,1,6,2001,52.229907,21.026562,23736,2.89007186889648
62,2,10,10,2012,52.188142,20.993983,12148,2.8097288608551
78,3,9,10,2000,52.23338,20.95718,10385,1.91601181030273
32,1,8,10,1975,52.18359,21.01834,11875,1.38479232788086
27,1,0,2,1932,52.26882,20.980417,15926,1.79072880744934
84,3,2,6,1948,52.21316,21.01959,11405,0.189646482467651
108,4,6,6,2007,52.19512,20.88379,9000,2.37800002098083
23,1,3,3,1960,52.189305,21.016871,14740,0.553454875946045
50,2,0,9,2019,52.229743,20.980593,13180,0.355411052703857
69,3,4,3,1992,52.227316,21.086411,7203,0.553454875946045
66,3,5,7,2004,52.24628,21.07672,9865,2.48761200904846
55,3,9,10,1974,52.191476,20.981025,8703,1.79994344711304
89,4,3,6,2014,52.24053,21.034167,14000,2.84634637832642
26,1,4,4,1955,52.23875,20.94849,12270,2.38726544380188
51,2,2,3,2001,52.143756,21.057955,10883,2.4732620716095
53,2,1,4,2014,52.1613,21.0751,10944,2.74889469146729
113,3,4,5,1995,52.24053,21.034167,6399,1.89558744430542
46,2,3,4,2009,52.1469,21.0281,9783,0.914703965187073
61,2,0,3,2012,52.2823,21.0467,8935,1.77167916297913
67,3,0,3,2019,52.3324,20.9752,8302,0.355411052703857
61,3,4,5,2014,52.2208,20.9343,11722,1.93200254440308
33.4,1,0,4,1929,52.260314,21.041352,13743,2.08803653717041
86,4,0,4,2006,52.3321,20.9464,7896,2.22468400001526
45,2,0,4,1999,52.3321,20.9358,7823,1.51771402359009
51,2,4,4,2018,52.247828,21.104583,11079,2.54396533966064
27,2,13,15,1970,52.2405,21.0342,11445,0.83578896522522
51,2,1,4,1950,52.245103,21.098876,9589,1.80365419387817
33,1,2,2,1932,52.2743,20.9823,11213,1.74128270149231
42.86,2,1,7,2020,52.22746,21.0806,9077,2.46472716331482
77,2,0,3,1913,52.241146,21.000503,13429,1.50488352775574
69,4,1,7,2010,52.1891,20.90556,10000,2.81808567047119
82,2,2,4,2006,52.157869,21.080707,10964,1.20998811721802
47,2,2,10,2014,52.2346,20.9595,12341,2.18852543830872
83,4,1,3,1927,52.21811,20.99097,11687,2.3968768119812
51,2,1,4,2015,52.24522,21.098208,9589,1.96521329879761
63,3,3,3,2006,52.332015,20.948504,6969,2.15299558639526
52,2,2,7,2009,52.244384,21.090091,9904,1.79855370521545
56,2,1,7,2010,52.229725,20.952157,6768,0.553454875946045
37,2,6,10,1970,52.258001,21.055027,9433,0.750882863998413
38,2,4,6,2018,52.224124,20.970522,14711,1.63900113105774
